id,lat,lon
17407562,51.1995894,3.2192497
17407563,51.2001924,3.2191509
17407564,51.2006909,3.2188189
17407565,51.2008274,3.219152
17407582,51.2041598,3.2190431
17407584,51.2057628,3.2168502
17407586,51.2054283,3.2197019
17407587,51.2048296,3.2177967
17407588,51.204193,3.217399
17407752,51.2078171,3.2158884
17407753,51.2083522,3.2153795
17407754,51.2071852,3.216128
17407756,51.2064403,3.2165561
17407757,51.2059119,3.2170208
17407762,51.2058751,3.2171865
17407837,51.2056221,3.2157354
17421081,51.2083532,3.2211776
17421084,51.2080346,3.2220584
17421085,51.2078195,3.2222431
17421090,51.208676,3.2264929
17421091,51.2081751,3.2266276
17421092,51.2088833,3.2274408
17421093,51.2094099,3.2268868
17421094,51.2084766,3.2274159
17421099,51.2089555,3.2273021
17421100,51.2091808,3.2280714
17421101,51.2094438,3.2287309
17421107,51.2097281,3.2295434
17421108,51.2090361,3.2301209
17421110,51.2087351,3.2293442
17421113,51.2083167,3.2283868
17421114,51.2099053,3.2303351
17421303,51.2077144,3.2233305
17421305,51.2089458,3.2233027
17421307,51.209372,3.2247182
17421310,51.2084168,3.2250606
17421311,51.2081394,3.2244354
17421435,51.2085178,3.2255764
17421436,51.2086177,3.2263317
17421753,51.2078423,3.2256796
17421754,51.2075567,3.2261752
17421757,51.2069162,3.2270696
17421759,51.2074832,3.2252087
17421761,51.2073399,3.2250841
17421762,51.2070685,3.2248464
17421764,51.205673,3.2206262
17421767,51.2067544,3.2223171
17421769,51.2062974,3.2228911
17421771,51.2064142,3.2231545
17421926,51.2092201,3.2228441
17421932,51.210445,3.2244492
17421937,51.209569,3.2246813
17422183,51.2105355,3.2252583
17422185,51.2107097,3.2261755
17422441,51.207539,3.2283405
17422442,51.206948,3.2271168
17422443,51.2071956,3.22763
17422444,51.2073303,3.2279056
17422445,51.2074816,3.2278161
17422447,51.2078599,3.2276615
17422448,51.2076025,3.2284714
17422449,51.2077535,3.227449
17422526,51.2065577,3.2265961
17422527,51.2062682,3.2261951
17422529,51.2060672,3.2255842
17422530,51.206404,3.2261959
17422531,51.2064263,3.2263474
17422532,51.2065572,3.2265242
17422533,51.206728,3.2267505
17422534,51.2056516,3.2252489
17422535,51.2053884,3.2254934
17422536,51.2051121,3.2255671
17422537,51.2054988,3.224871
17422566,51.2051745,3.2243233
17422567,51.2048367,3.223747
17422570,51.2042282,3.2242076
17422577,51.2030882,3.2251655
17422579,51.2025637,3.2259089
17422582,51.2023917,3.2261814
17422584,51.2020117,3.2267487
17422586,51.2017696,3.2270133
17422588,51.2014524,3.2273404
17422590,51.201237,3.2275543
17422709,51.2046974,3.2258628
17422710,51.2040829,3.2264293
17422712,51.2039892,3.2265071
17422715,51.2033719,3.2269209
17422716,51.2030807,3.2260656
17422717,51.2028275,3.2258133
17422718,51.2038388,3.2279927
17423164,51.2029813,3.2249073
17423165,51.2028254,3.2244593
17423166,51.2022982,3.2246102
17423167,51.2022253,3.2247127
17423169,51.2017476,3.2247416
17423172,51.2006736,3.2250634
17423175,51.2017219,3.2235502
17423264,51.2005628,3.2229844
17423265,51.2005818,3.2232636
17423266,51.2017044,3.2231858
17423267,51.2015848,3.2222434
17423268,51.2009765,3.2222424
17423419,51.2002769,3.2230266
17423421,51.2005824,3.2234295
17423422,51.2002317,3.2234304
17423423,51.1998747,3.2233838
17423424,51.1996714,3.223472
17423426,51.1993755,3.2234812
17423427,51.1989797,3.2234628
17423429,51.1986535,3.223517
17423430,51.1987543,3.2231994
17423436,51.1993124,3.2262422
17423437,51.1994989,3.2262114
17423438,51.199656,3.2261477
17423439,51.200318,3.2257345
17423441,51.2003435,3.2254502
17423442,51.2003665,3.225414
17423443,51.200449,3.225315
17423444,51.2008524,3.2257818
26343703,51.2027514,3.224108
26343706,51.2024221,3.2208871
26343707,51.2024402,3.2213326
26343708,51.2016319,3.2244987
26343709,51.2019792,3.2250287
26343710,51.2039567,3.2283114
26343711,51.2041212,3.2291081
26343712,51.2042028,3.229703
26343714,51.2133656,3.2291963
26343715,51.2138268,3.2290004
26343717,51.2140112,3.228987
26343718,51.2142586,3.2290594
26343720,51.214514,3.2291869
26343721,51.2148953,3.2294105
26343722,51.2152266,3.2295144
26343723,51.2152732,3.2295381
26343725,51.2155836,3.2295794
26343727,51.215903,3.2293665
26343728,51.2169453,3.2287539
26343729,51.217114,3.2287591
26343730,51.2172405,3.2288373
26343731,51.2173715,3.2289834
26343733,51.2176046,3.2292706
26343735,51.2179532,3.2296943
26343736,51.2186951,3.2300595
26343738,51.2193278,3.2303433
26343739,51.2195901,3.2304254
26343740,51.2197521,3.2305157
26343741,51.2198175,3.2306409
26343742,51.2199605,3.2311817
26343743,51.2200382,3.2316598
26343746,51.2200941,3.2319846
26343748,51.2202986,3.2327263
26343749,51.2205772,3.2333977
26343755,51.2211675,3.2328363
26343756,51.2216142,3.2335008
26343758,51.2210145,3.2342604
26343760,51.2130673,3.229388
26343764,51.2128137,3.2295425
26343765,51.2116182,3.230693
26343766,51.2123481,3.2301139
26343767,51.2152159,3.2288289
26343768,51.2149474,3.2288195
26343769,51.2144939,3.2286653
26343770,51.2143013,3.2285791
26343771,51.214086,3.2284912
26343772,51.2137151,3.2284827
26343774,51.2132287,3.228715
26343775,51.2128817,3.2288817
26343776,51.2127966,3.228913
26343777,51.2127495,3.2289113
26343778,51.2126877,3.2288359
26343780,51.2135451,3.2285544
26343781,51.2136124,3.2277183
26343782,51.2136786,3.2268254
26343783,51.2136352,3.2259284
26343785,51.2136348,3.2254859
26343786,51.2133553,3.22538
26343793,51.2128607,3.2243534
26343796,51.2126301,3.2240659
26343798,51.2123502,3.2235613
26343801,51.2121633,3.2230993
26343806,51.2116247,3.2223925
26343809,51.2117969,3.2216889
26343810,51.2118025,3.2215339
26343811,51.2117446,3.2213817
26343812,51.2115957,3.221057
26343813,51.2123365,3.2194512
26343816,51.2109244,3.2208275
26343818,51.2132131,3.2260311
26343819,51.213257,3.2266069
26343820,51.2133139,3.2273648
26343821,51.2133198,3.2280245
26343822,51.2130326,3.2249006
26343824,51.2131604,3.2256661
26343826,51.2115766,3.2262629
26343827,51.2123333,3.2286879
26343828,51.212541,3.2290996
26343830,51.2130023,3.2300875
26343831,51.2134951,3.2297687
26343832,51.2132321,3.2299289
26343834,51.2133653,3.2307342
26343835,51.2135618,3.2305253
26343839,51.207988,3.2291998
26343841,51.2082669,3.2297917
26343847,51.2064886,3.2278304
26343848,51.206365,3.2279631
26343850,51.2059455,3.2285422
26343851,51.2057889,3.2288086
26343854,51.2055163,3.2291424
26343857,51.2053204,3.2293608
26343859,51.205063,3.22956
26343860,51.2046273,3.2295772
26343861,51.2044308,3.2296166
26343862,51.2017333,3.2237248
26343867,51.2010804,3.2208218
26343868,51.200222,3.2205965
26343869,51.1993408,3.2197817
26343870,51.1988346,3.2225129
26343871,51.1989176,3.2218265
26343872,51.1990537,3.2211935
26343876,51.2062345,3.2228963
26343877,51.2059457,3.2230071
26343881,51.2109266,3.2281296
26343882,51.2108291,3.2282814
26343884,51.2115347,3.225483
26343887,51.2113515,3.2257384
26343888,51.2114487,3.2258191
26343889,51.2093286,3.2264557
26343890,51.2095507,3.2263487
26343891,51.2095898,3.2267203
